property_id,neighborhood,neighborhood_ar,property_type,annual_rent_sar,area_sqm,bedrooms,bathrooms,furnishing,status,title_text,created_at
C0064,Al Olaya,العليا,Apartments,125000,130.0,3,3,Fully furnished,Available,Furnished 3 Beds Family Apartment — Al Olaya,2026-05-24 10:30:19.040000+00:00
C0051,An Narjis,النرجس,Compounds,125000,138.0,3,3,Unfurnished,Available,Opal by Satel | Gated Living in Al Narjis,2026-03-17 20:01:00.811000+00:00
C0095,Al Olaya,العليا,Apartments,125000,120.0,2,3,Fully furnished,Available,Modren 3Beds Furnished Apartment with Gym - Al Olaya ,2026-08-26 09:13:47.045000+00:00
A0209,An Narjis,النرجس,Apartments,85000,91.0,3,3,Unfurnished,Rented out,New Apartment for Rent - 3 Bed in Al Narjis,2026-03-15 19:03:54.476000+00:00
C0074,Al Olaya,العليا,Apartments,77000,100.0,2,2,Unfurnished,Available,Unfurnished 2-Beds Family Apartment in a Prime Location,2026-07-06 10:24:52.797000+00:00
A0135,King Salman Neighborhood,,Apartments,75000,114.0,3,3,Unfurnished,Available,3 Beds Apartment in King Salman Neighborhood,2025-06-02 15:13:05.073000+00:00
C0075,Al Wurud,حي الورود,Apartments,70000,69.0,1,1,Partially furnished,Rented out,UnFurnished one Bedroom Apartment in Al Olaya ,2026-07-08 08:38:39.267000+00:00
C0099,Alyasmin,الياسمين,Floor,75000,,3,4,Unfurnished,Available,3 Bedroom Floor for Rent in Al Yasmin | SATEL,2026-09-02 21:13:10.536000+00:00
A0017,Al Mohammadiyyah,,Apartments,105000,135.0,3,3,Unfurnished,Rented out,2 Bedrooms Apartment in Al Mohammadiyyah,2024-11-11 10:05:53.870000+00:00
C0073,Al Olaya,حي العليا,Apartments,90000,145.5,4,2,Unfurnished,Available,Large 4-Bedroom Apartment | Close to Kingdom Centre,2026-07-06 09:04:09.192000+00:00
C0090,Al Wurud,,Apartments,80000,61.0,1,1,Unfurnished,Available,Unfurnished one Bedroom Apartment With Terrace in Al Olaya ,2026-08-15 08:17:53.271000+00:00
A0224,Al Wurud,الورود,Apartments,130000,120.0,2,2,Fully furnished,Rented out,Furnished 2 Beds Family Apartment — Al Wurud,2026-04-27 13:49:14.351000+00:00
C0068,Al Aqiq,العقيق,Apartments,100000,90.0,2,2,Fully furnished,Available,2Beds Furnished Apartmen in Family Community Near KAFD  - Al Aqiq ,2026-06-15 07:42:45.311000+00:00
A0066,Al Wurud,الورود,Apartments,135000,130.0,2,3,Fully furnished,Rented out,Luxury Family Living Near Kingdom Tower & KAFD | Satel 116,2025-02-03 11:01:40.420000+00:00
C0076,At Taawun,التعاون,Apartments,85000,205.5,5,3,Partially furnished,Rented out,Unfurnished 5-Bedroom Family Apartment in a Prime Location – Al Taawun District,2026-07-11 07:37:15.703000+00:00
A0114,Al Malqa,الملقا,Apartments,90000,115.0,3,3,Unfurnished,Available,Al Malqa | 3BR Apartment with Integrated Amenities - Satel,2025-04-30 10:51:57.134000+00:00
A0227,Al Mohammadiyyah,,Apartments,140000,124.0,2,3,Fully furnished,Available,Furnished 2BR Apartment in Al Mohammadiyyah,2026-05-09 19:25:49.568000+00:00
A0202,Alyasmin,الياسمين,Apartments,80000,160.0,2,3,Fully furnished,Rented out,2 Bedrooms Apartment – Al Yasmin,2025-12-29 14:04:31.579000+00:00
A0165,Al Malaz,الملز,Compounds,73000,92.0,2,2,Fully furnished,Available,La Brise Community – 2 Beds for Rent,2025-08-03 08:10:14.610000+00:00
A0105,Al Malqa,النرجس,Apartments,90000,135.0,3,4,Unfurnished,Available,3 Bedrooms Apartment in Al Malqa,2025-04-21 13:51:17.322000+00:00
A0230,Al Olaya,العليا,Apartments,145000,112.0,2,4,Fully furnished,Available,Olaris Residence | Smart Living in Al Olaya,2026-05-24 19:41:06.067000+00:00
A0179,An Narjis,النرجس,Compounds,155000,130.0,3,3,Fully furnished,Available,Opal by Satel | Elevated Living in Al Narjis,2025-09-18 08:30:34.970000+00:00
C0017,Al Malqa,حي الملقا,Floor,175000,271.0,3,5,Unfurnished,Rented out,Floor in Al Malqa,2025-02-18 08:45:38.696000+00:00
C0045,As Sulimaniyah,حي السليمانية,Duplex,110000,148.0,3,2,Unfurnished,Rented out,Elevate Your Lifestyle – Modern Duplexes with Gym in Al Sulimaniyah,2026-03-15 20:25:04.175000+00:00
A0211,Al Aqiq,حي العقيق,Apartments,115000,117.0,2,3,Fully furnished,Available,New Furnished 3 Beds Apartment in Al Aqiq ,2026-03-17 19:11:21.729000+00:00
C0072,Al Olaya,العليا,Apartments,80000,106.5,3,3,Partially furnished,Available,Spacious Living & Greater Privacy Unfurnished Apartment in Al Olaya ,2026-07-06 08:33:23.963000+00:00
A0212,Al Wurud,الورود,Apartments,115000,137.0,2,2,Fully furnished,Rented out,2 Beds Apartment in Al Wurud,2026-03-17 19:38:31.503000+00:00
A0191,Al Wurud,الورود,Apartments,105000,137.0,2,2,Unfurnished,Rented out,New Apartment for Rent - 2 Beds,2025-10-20 09:33:31.994000+00:00
C0048,An Narjis,النرجس,Compounds,150000,140.0,3,4,Fully furnished,Available,Satel at Opal on Thoumamah Road - Furnished 3 Bedrooms Apartment,2026-03-17 20:00:38.183000+00:00
A0220,Al Olaya,حي العليا,Apartments,120000,120.0,2,3,Fully furnished,Rented out,2 Beds | Al Olaya — Your Apartment Has Its Own Gym,2026-04-08 10:20:29.025000+00:00
C0018,Al Malqa,حي الملقا,Duplex,185000,221.0,3,6,Unfurnished,Available,New Dublex for Rent,2025-02-18 09:23:21.401000+00:00
A0189,Al Aqiq,حي العقيق,Duplex,135000,268.0,3,3,Unfurnished,Rented out,Duplex | Al Aqiq — Stunning KAFD,2025-10-19 14:30:42.031000+00:00
A0213,An Nakheel,النخيل,Apartments,125000,133.0,3,4,Unfurnished,Available,Sun-Filled 3 Beds in Al Nakheel,2026-03-17 19:47:06.637000+00:00
A0217,Ar Rahmaniyyah,الرحمانية,Apartments,70000,57.0,2,2,Fully furnished,Available,2 Beds Furnished for Rent - Serviced Apartment,2026-03-17 21:07:11.887000+00:00
C0020,Irqah,عرقة,Duplex,85000,194.0,3,5,Fully furnished,Rented out,Duplex in Irqah,2025-06-02 09:25:55.793000+00:00
A0176,An Narjis,النرجس,Compounds,100000,107.0,2,4,Unfurnished,Available,Opal by Satel | Elevated Living in Al Narjis,2025-09-18 08:40:25.065000+00:00
